duration_months,event_observed,is_15yr,orig_year,high_ltv,rate_spread,PropertyState_West Coast,PropertyState_South,PropertyState_Others,PropertyState_Northeast,PropertyType_SF,PropertyType_PU,PropertyType_MH,PropertyType_LH,PropertyType_CP,Occupancy_S,Occupancy_O,LoanPurpose_P,LoanPurpose_N,Channel_T,Channel_R,Channel_C,NumBorrowers,OrigLoanTerm,PPM,OrigInterestRate,LTV,OrigUPB,DTI,OCLTV,Units,MIP,FirstTimeHomebuyer,CreditScore
52,0,0,1999,1,-0.125,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,2,360.0,0,6.75,89.0,117000,27.0,89,1,25,0,670.5336708312466
144,0,0,1999,0,-0.375,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,360.0,0,6.5,73.0,109000,17.0,73,1,0,0,670.5336708312466
67,0,0,1999,0,0.0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,2,360.0,0,6.875,75.0,88000,16.0,75,1,0,0,670.5336708312466
35,0,0,1999,0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,2,360.0,0,6.875,76.0,160000,14.0,76,1,0,0,670.5336708312466
54,0,0,1999,0,0.25,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,2,360.0,0,7.125,78.0,109000,18.0,78,1,0,0,670.5336708312466
42,0,0,1999,1,0.25,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,2,360.0,0,7.125,89.0,207000,40.0,89,1,25,0,670.5336708312466
44,0,0,1999,1,0.0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,360.0,0,6.875,90.0,111000,21.0,90,1,25,0,670.5336708312466
145,1,0,1999,0,-0.125,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,360.0,0,6.75,72.0,97000,20.0,72,1,0,0,670.5336708312466
64,0,0,1999,1,0.125,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,345.0,0,7.0,95.0,55000,38.0,95,1,30,1,670.5336708312466
212,1,0,1999,1,0.25,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,360.0,0,7.125,95.0,35000,27.0,95,1,30,1,670.5336708312466
37,0,0,1999,0,-0.375,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,2,360.0,0,6.5,80.0,126000,19.0,80,1,0,0,670.5336708312466
